LineID,Stop_ID,Stop_name,Lat,Lon,Stop_Sequence,Destination,Direction,Routes_serviced_by_stop,,,
33A,3813,Footbridge,53.59137687,-6.156175864,1,Swords,0, 33A - 33,,,
33A,3814,Barnageeragh Road,53.5855436,-6.148605461,2,Swords,0, 33A - 33,,,
33A,3815,Barnageeragh Road,53.5819351,-6.125246689,3,Swords,0, 33A - 33,,,
33A,3816,Mourne Drive,53.58047132,-6.127622271,4,Swords,0, 33A - 33,,,
33A,3566,Selskar Court,53.57806727,-6.125055412,5,Swords,0, 33A - 33,,,
33A,3567,Selsker Road,53.57621494,-6.119851789,6,Swords,0, 33A - 33,,,
33A,7292,Sports Fields,53.57753411,-6.112302544,7,Swords,0, 33A - 33,,,
33A,3818,Church Street,53.57986436,-6.110174888,8,Swords,0, 33A - 33,,,
33A,3819,McLoughlin's Lane,53.58006992,-6.106691995,9,Swords,0, 33A - 33,,,
33A,3820,St. Patrick's Church,53.57787256,-6.10585386,10,Swords,0, 33A - 33,,,
33A,3822,Brookville Lane,53.57536002,-6.104410747,11,Swords,0, 33A - 33,,,
33A,3823,Rugby Club,53.57276231,-6.101567263,12,Swords,0, 33A - 33,,,
33A,3824,Shenick Road,53.56970017,-6.101175975,13,Swords,0, 33A - 33,,,
33A,3565,Downside Park,53.56674987,-6.102168779,14,Swords,0, 33A - 33,,,
33A,3825,Hacketstown Cottages,53.56234741,-6.103407589,15,Swords,0, 33A - 33,,,
33A,3826,Ballyhavil,53.5584756,-6.102403373,16,Swords,0, 33A - 33,,,
33A,3827,Drumlattory Lane,53.55402645,-6.101832721,17,Swords,0, 33A - 33,,,
33A,3828,Mine Road,53.54995487,-6.101833874,18,Swords,0, 33A - 33,,,
33A,3829,Loughshinny Cross,53.54730324,-6.101258352,19,Swords,0, 33A - 33,,,
33A,3831,Carn Hill House,53.54241387,-6.096180729,20,Swords,0, 33A - 33,,,
33A,3832,Ballustree,53.53914806,-6.092600416,21,Swords,0, 33A - 33,,,
33A,3833,St. Catherines,53.53366907,-6.090583732,22,Swords,0, 33A - 33,,,
33A,3834,Palmer Road,53.53093296,-6.091476221,23,Swords,0, 33A - 33,,,
33A,3835,Rush Cricket Club,53.5288262,-6.091254186,24,Swords,0, 33A - 33,,,
33A,3836,Golden Ridge,53.52335131,-6.091183654,25,Swords,0, 33A - 33,,,
33A,3837,The Strand bar,53.52219323,-6.094086337,26,Swords,0, 33A - 33,,,
33A,3840,Garda Station,53.52281014,-6.100091747,27,Swords,0, 33A - 33,,,
33A,3842,Chapel Green,53.52159272,-6.105500464,28,Swords,0, 33A - 33,,,
33A,3843,Doctor's Lane,53.52081239,-6.109577276,29,Swords,0, 33A - 33,,,
33A,3844,Old Road,53.51870994,-6.116457474,30,Swords,0, 33A - 33,,,
33A,3845,Cemetary,53.51765361,-6.120153914,31,Swords,0, 33A - 33,,,
33A,3846,Spout Road,53.5180924,-6.127494028,32,Swords,0, 33A - 33,,,
33A,3848,Bishop Land,53.52039156,-6.138311855,33,Swords,0, 33A - 33,,,
33A,3849,Horstone Road,53.52100566,-6.141964938,34,Swords,0, 33A - 33,,,
33A,3850,Rush Station,53.521629,-6.146221009,35,Swords,0, 33A - 33,,,
33A,3851,Rogerstown Lane,53.52191985,-6.148169011,36,Swords,0, 33A - 33,,,
33A,3852,Rogerstown Lane,53.52245964,-6.15401256,37,Swords,0, 33A - 33,,,
33A,3853,Rathmore Road,53.52423439,-6.160692618,38,Swords,0, 33A - 33,,,
33A,3854,Orlynn Park,53.52534025,-6.164807744,39,Swords,0,33A - 747 - 33 ,,,
33A,3855,Church Road,53.52306589,-6.167711458,40,Swords,0, 33A - 33,,,
33A,3856,Chapel Farm,53.51860418,-6.169819326,41,Swords,0, 33A - 33,,,
33A,3857,Rathmore Road,53.51472765,-6.173168242,42,Swords,0, 33A - 33,,,
33A,3858,Bridetree,53.51100782,-6.177957332,43,Swords,0, 33A - 33,,,
33A,3859,Balleally West,53.50982806,-6.180164096,44,Swords,0, 33A - 33,,,
33A,3860,Hannah's Avenue,53.50705861,-6.18540893,45,Swords,0, 33A - 33,,,
33A,3861,Balleally Lane,53.504823,-6.18734373,46,Swords,0, 33A - 33,,,
33A,3862,Newhaggard Bridge,53.50229027,-6.192215586,47,Swords,0, 33A - 33,,,
33A,3863,Turvey Avenue,53.4945348,-6.194670773,48,Swords,0, 33A - 33,,,
