Time,Rain,Temperature,Wind_Speed
01/11/2012 00:00,0,2.4,6
01/11/2012 01:00,0,1.7,7
01/11/2012 02:00,0,1.1,7
01/11/2012 03:00,0,0.7,7
01/11/2012 04:00,0,0.6,8
01/11/2012 05:00,0,0.5,8
01/11/2012 06:00,0,0.2,9
01/11/2012 07:00,0,0.2,11
01/11/2012 08:00,0,0.4,12
01/11/2012 09:00,0,1,17
01/11/2012 10:00,0,2.4,15
01/11/2012 11:00,0,3.5,14
01/11/2012 12:00,0,5.4,14
01/11/2012 13:00,0,6.2,15
01/11/2012 14:00,0,6.8,18
01/11/2012 15:00,0,6.1,18
01/11/2012 16:00,0.1,5.1,16
01/11/2012 17:00,0.7,4.6,17
01/11/2012 18:00,0.2,4.7,17
01/11/2012 19:00,0,4.4,18
01/11/2012 20:00,0,4.4,19
01/11/2012 21:00,0,4.5,21
01/11/2012 22:00,0,5,18
01/11/2012 23:00,0,4.7,20
02/11/2012 00:00,0,4.9,21
02/11/2012 01:00,0,5.1,18
02/11/2012 02:00,0,4.6,13
02/11/2012 03:00,0,4.5,16
02/11/2012 04:00,0,4.2,16
02/11/2012 05:00,0,3.4,15
02/11/2012 06:00,0,3.3,16
02/11/2012 07:00,0,3.4,17
02/11/2012 08:00,0,3.4,18
02/11/2012 09:00,0,4.4,19
02/11/2012 10:00,0,6.1,21
02/11/2012 11:00,0,7.4,21
02/11/2012 12:00,0,7.6,23
02/11/2012 13:00,0,7.3,24
02/11/2012 14:00,0,8.1,24
02/11/2012 15:00,0,6.9,21
02/11/2012 16:00,0,5.4,17
02/11/2012 17:00,0,4.8,13
02/11/2012 18:00,0,3.9,10
02/11/2012 19:00,0,3.8,9
02/11/2012 20:00,0,3.4,7
02/11/2012 21:00,0,3.8,11
02/11/2012 22:00,0,3.5,9
02/11/2012 23:00,0,3.2,8
03/11/2012 00:00,0,2.8,6
03/11/2012 01:00,0,3,9
03/11/2012 02:00,0,2.8,8
03/11/2012 03:00,0,1.8,8
03/11/2012 04:00,0,1.4,7
03/11/2012 05:00,0,2.1,7
03/11/2012 06:00,0,1.8,10
03/11/2012 07:00,0,2,10
03/11/2012 08:00,0,2.2,11
03/11/2012 09:00,0,3.7,11
03/11/2012 10:00,0,4.7,15
03/11/2012 11:00,0,5.6,18
03/11/2012 12:00,0,6.7,14
03/11/2012 13:00,0,7.2,14
03/11/2012 14:00,0,7.3,16
03/11/2012 15:00,0,7.1,14
03/11/2012 16:00,0,6.5,14
03/11/2012 17:00,0,5.1,13
03/11/2012 18:00,0,4.9,12
03/11/2012 19:00,0,4.1,13
03/11/2012 20:00,0,4,11
03/11/2012 21:00,0,4.9,10
03/11/2012 22:00,0,5.5,11
03/11/2012 23:00,0,5.3,10
04/11/2012 00:00,0,6.4,11
04/11/2012 01:00,0,6.9,12
04/11/2012 02:00,0,6.5,11
04/11/2012 03:00,0,6.5,9
04/11/2012 04:00,0,7.1,7
04/11/2012 05:00,0,6.6,10
04/11/2012 06:00,0,6.6,9
04/11/2012 07:00,0,6.6,13
04/11/2012 08:00,0.9,5.6,10
04/11/2012 09:00,0.5,5.5,7
04/11/2012 10:00,1.3,5.4,13
04/11/2012 11:00,0.3,6.2,13
04/11/2012 12:00,1.3,6.1,10
04/11/2012 13:00,0.2,6.9,10
04/11/2012 14:00,0,7.7,13
04/11/2012 15:00,0,7.5,8
04/11/2012 16:00,0.3,6.1,11
04/11/2012 17:00,0.5,7,9
04/11/2012 18:00,0,7,10
04/11/2012 19:00,0,6.6,11
04/11/2012 20:00,0,7.2,15
04/11/2012 21:00,0,7.4,14
04/11/2012 22:00,0,7.5,15
04/11/2012 23:00,0,6.9,13
05/11/2012 00:00,0,6.5,12
05/11/2012 01:00,0,6,11
05/11/2012 02:00,0,4.3,9
05/11/2012 03:00,0,4.6,6
05/11/2012 04:00,0,4.2,7
05/11/2012 05:00,0,3.2,8
05/11/2012 06:00,0,1,8
05/11/2012 07:00,0,0.7,9
05/11/2012 08:00,0,1.3,9
05/11/2012 09:00,0,2.8,10
05/11/2012 10:00,0,5,9
05/11/2012 11:00,0,6.2,8
05/11/2012 12:00,0,7.7,10
05/11/2012 13:00,0,8.6,11
05/11/2012 14:00,0,8.1,11
05/11/2012 15:00,0,9.2,11
05/11/2012 16:00,0,7.8,10
05/11/2012 17:00,0,5.5,9
05/11/2012 18:00,0,4.6,9
05/11/2012 19:00,0,4.4,9
05/11/2012 20:00,0,3.8,10
05/11/2012 21:00,0,3.3,9
05/11/2012 22:00,0,3.5,10
05/11/2012 23:00,0,3.1,10
06/11/2012 00:00,0,2.5,10
06/11/2012 01:00,0,2.6,10
06/11/2012 02:00,0,3.2,10
06/11/2012 03:00,0,4,13
06/11/2012 04:00,0,4.8,12
06/11/2012 05:00,0,5.3,12
06/11/2012 06:00,0,5.6,13
06/11/2012 07:00,0,6.3,16
06/11/2012 08:00,0,7,17
06/11/2012 09:00,0,7.6,16
06/11/2012 10:00,0,8.4,18
06/11/2012 11:00,0,9.6,19
06/11/2012 12:00,0,10.6,19
06/11/2012 13:00,0,10.6,19
06/11/2012 14:00,0,11,20
06/11/2012 15:00,0,10.1,19
06/11/2012 16:00,0,9.4,18
06/11/2012 17:00,0,8.6,15
06/11/2012 18:00,0,8.6,15
06/11/2012 19:00,0,8,18
06/11/2012 20:00,0,7.2,17
06/11/2012 21:00,0,8,14
06/11/2012 22:00,0,8,18
06/11/2012 23:00,0,7.9,17
07/11/2012 00:00,0,7.8,17
07/11/2012 01:00,0,7.9,16
07/11/2012 02:00,0,8.2,17
07/11/2012 03:00,0,8.4,17
07/11/2012 04:00,0,8.6,15
07/11/2012 05:00,0,8.7,16
07/11/2012 06:00,0,8.7,14
07/11/2012 07:00,0,8.7,15
07/11/2012 08:00,0,8.8,15
07/11/2012 09:00,0,9.1,16
07/11/2012 10:00,0,9.3,17
07/11/2012 11:00,0,10.1,15
07/11/2012 12:00,0,10.4,18
07/11/2012 13:00,0,10.4,20
07/11/2012 14:00,0,10.2,17
07/11/2012 15:00,0,10.6,15
07/11/2012 16:00,0,10.7,17
07/11/2012 17:00,0,10.2,18
07/11/2012 18:00,0,10.2,17
07/11/2012 19:00,0,10.1,17
07/11/2012 20:00,0,9.1,16
07/11/2012 21:00,0,8.8,18
07/11/2012 22:00,0,8.5,16
07/11/2012 23:00,0,8.7,17
08/11/2012 00:00,0,8.6,15
08/11/2012 01:00,0,8.7,15
08/11/2012 02:00,0,8.4,17
08/11/2012 03:00,0,7.9,15
08/11/2012 04:00,0,7.6,16
08/11/2012 05:00,0,7.7,17
08/11/2012 06:00,0,7.4,15
08/11/2012 07:00,0,6.9,13
08/11/2012 08:00,0,6.8,10
08/11/2012 09:00,0,7.4,12
08/11/2012 10:00,0,8.4,13
08/11/2012 11:00,0,8.9,13
08/11/2012 12:00,0,9,12
08/11/2012 13:00,0,10.4,12
08/11/2012 14:00,0,10.2,13
08/11/2012 15:00,0,9.8,11
08/11/2012 16:00,0,9.8,10
08/11/2012 17:00,0,8.9,11
08/11/2012 18:00,0,9.1,9
08/11/2012 19:00,0,8.5,9
08/11/2012 20:00,0,8.2,9
08/11/2012 21:00,0,8,9
08/11/2012 22:00,0,8,9
08/11/2012 23:00,0,7.9,13
09/11/2012 00:00,0,8,14
09/11/2012 01:00,0,7.8,15
09/11/2012 02:00,0,8.5,14
