Route,Stop_ID,Stop_name,Lat,Lon,Stop_sequence,Destination,Direction
4,324,Bus Garage,53.41772246,-6.278629133,1,Monkstown Av,1
4,327,Silloge Golf Club,53.41318883,-6.265333257,2,Monkstown Av,1
4,7113,Santry Avenue,53.40253187,-6.264909599,3,Monkstown Av,1
4,127,St. Pappin's Road,53.39910731,-6.263665399,4,Monkstown Av,1
4,112,Silloge Road,53.39614564,-6.263966435,5,Monkstown Av,1
4,113,Nursing Home,53.39226774,-6.263688227,6,Monkstown Av,1
4,114,Shanliss Road,53.39133332,-6.263711229,7,Monkstown Av,1
4,115,Glasnevin Avenue,53.38793714,-6.265037196,8,Monkstown Av,1
4,37,DCU,53.38534618,-6.264871956,9,Monkstown Av,1
4,38,Hamstead Avenue,53.38223638,-6.265494497,10,Monkstown Av,1
4,39,Glasnevin Tennis Club,53.38041397,-6.265643736,11,Monkstown Av,1
4,40,Home Farm Road,53.37666077,-6.264668969,12,Monkstown Av,1
4,146,Na Fianna,53.37516523,-6.26504541,13,Monkstown Av,1
4,147,Dean Swift Bridge,53.37248023,-6.265830862,14,Monkstown Av,1
4,184,Cliftonville Road,53.36969448,-6.268964699,15,Monkstown Av,1
4,185,Marguerite Road,53.36809195,-6.270021503,16,Monkstown Av,1
4,186,Prospect Avenue,53.36534614,-6.271575323,17,Monkstown Av,1
4,187,Royse Road,53.36272505,-6.272432712,18,Monkstown Av,1
4,188,North Circular Road,53.3601117,-6.272583513,19,Monkstown Av,1
4,189,Broadstone,53.35716744,-6.273468816,20,Monkstown Av,1
4,190,Broadstone Depot,53.35511675,-6.273371437,21,Monkstown Av,1
4,191,Youth Club,53.35506787,-6.269377287,22,Monkstown Av,1
4,819,Blessington Street,53.35629482,-6.265977336,23,Monkstown Av,1
4,260,Garden of Remembrance,53.35428479,-6.263114478,24,Monkstown Av,1
4,4725,Parnell Street,53.35210685,-6.261069913,25,Monkstown Av,1
4,273,O'Connell Bridge,53.347238,-6.258789745,26,Monkstown Av,1
4,402,Provost's House,53.34389969,-6.259151074,27,Monkstown Av,1
4,405,South Frederick Street,53.34248147,-6.255589363,28,Monkstown Av,1
4,408,Lincoln Place,53.34097078,-6.25001924,29,Monkstown Av,1
4,409,Merrion Street,53.34013607,-6.247650569,30,Monkstown Av,1
4,410,Grattan Street,53.33881323,-6.243875382,31,Monkstown Av,1
4,411,Warrington Place,53.3381169,-6.241756545,32,Monkstown Av,1
4,412,Haddington Road,53.33525529,-6.237264312,33,Monkstown Av,1
4,413,Lansdowne Park,53.33409264,-6.236441348,34,Monkstown Av,1
4,414,Northumberland Road,53.33151902,-6.23441542,35,Monkstown Av,1
4,415,Northumberland Road,53.33033759,-6.232932744,36,Monkstown Av,1
4,416,Simmonscourt Road,53.32863071,-6.229354937,37,Monkstown Av,1
4,417,Serpentine Avenue,53.32769038,-6.225955789,38,Monkstown Av,1
4,418,British Embassy,53.3257106,-6.223380667,39,Monkstown Av,1
4,419,Shrewsbury Park,53.3239859,-6.220434874,40,Monkstown Av,1
4,420,Merlyn Road,53.32190159,-6.217489294,41,Monkstown Av,1
4,421,Ailesbury Road,53.31999597,-6.214476494,42,Monkstown Av,1
4,422,Merrion Centre,53.31806397,-6.21030928,43,Monkstown Av,1
4,423,Herbert Avenue,53.31714828,-6.207390658,44,Monkstown Av,1
4,424,Merrion Gates,53.31539415,-6.203711866,45,Monkstown Av,1
4,425,Bellevue Avenue,53.31249301,-6.201462396,46,Monkstown Av,1
4,426,Nature Reserve,53.31096735,-6.19983067,47,Monkstown Av,1
4,427,Booterstown Hall,53.30826987,-6.195006951,48,Monkstown Av,1
4,428,Blackrock College,53.3069015,-6.190712857,49,Monkstown Av,1
4,429,Blackrock College,53.30470787,-6.187129261,50,Monkstown Av,1
4,6334,Frascati Shop Centre,53.30127421,-6.180627805,51,Monkstown Av,1
4,3114,Monkstown Road,53.2957958,-6.169758882,52,Monkstown Av,1
4,3115,Greenville Road,53.29399196,-6.167600741,53,Monkstown Av,1
4,3116,Maynard,53.28992246,-6.167159913,54,Monkstown Av,1
4,6085,Deansgrange Road,53.28640594,-6.165855529,55,Monkstown Av,1
4,2026,Stradbrook Rd,53.28665281,-6.159710257,56,Monkstown Av,1
4,7226,Richmond Grove,53.28844439,-6.154083285,57,Monkstown Av,1
4,7330,Richmond Grove,53.28851641,-6.153510182,1,Harristown,0
4,2051,Stradbrook Rd,53.28647455,-6.159807914,2,Harristown,0
4,6086,Deansgrange Road,53.28636311,-6.165992357,3,Harristown,0
4,3161,Abbey Road,53.28700433,-6.167944807,4,Harristown,0
4,3162,Maynard,53.28974857,-6.167542366,5,Harristown,0
4,3163,Monkstown Road,53.29250663,-6.166869254,6,Harristown,0
4,3164,Temple Hill,53.2955998,-6.16987228,7,Harristown,0
4,3084,Frascati Shop Centre,53.30138102,-6.181148417,8,Harristown,0
4,469,Mount Merrion Avenue,53.30284527,-6.184042142,9,Harristown,0
4,470,Blackrock Clinic,53.30561641,-6.188951492,10,Harristown,0
4,471,Blackrock College,53.30687058,-6.191044302,11,Harristown,0
4,472,Booterstown Hall,53.30788181,-6.19490327,12,Harristown,0
4,473,Grotto Avenue,53.30924035,-6.197367142,13,Harristown,0
4,4705,Nature Reserve,53.31080906,-6.200062446,14,Harristown,0
4,475,Bellevue Avenue,53.31270616,-6.201888675,15,Harristown,0
4,476,Merrion Gates,53.31574254,-6.2047629,16,Harristown,0
4,477,Estate Avenue,53.31686305,-6.20695232,17,Harristown,0
4,478,Merrion Centre,53.31810532,-6.211268201,18,Harristown,0
4,479,Merrion Centre,53.31913476,-6.213386661,19,Harristown,0
4,480,Ailesbury Road,53.32084077,-6.216272578,20,Harristown,0
4,481,Merlyn Road,53.32233543,-6.218251815,21,Harristown,0
4,482,Shrewsbury Park,53.32468354,-6.222012172,22,Harristown,0
4,483,Simmonscourt Road,53.32592592,-6.223957223,23,Harristown,0
4,485,RDS,53.32826049,-6.228634599,24,Harristown,0
4,487,Northumberland Road,53.33080073,-6.233859519,25,Harristown,0
4,488,Haddington Road,53.33309833,-6.236061941,26,Harristown,0
4,489,St. Mary's Road South,53.33494178,-6.237337306,27,Harristown,0
4,490,Haddington Road,53.33655632,-6.238937561,28,Harristown,0
