date,rain,temp,vapour_pressure,humidity,wind_speed,weather_code,visibility_mm,cloud_amount
01/11/2012 00:00,0,2.4,6.6,91,6,10,7000,1
01/11/2012 01:00,0,1.7,6.5,94,7,10,7000,1
01/11/2012 02:00,0,1.1,6.4,96,7,10,6000,3
01/11/2012 03:00,0,0.7,6.3,98,7,10,5000,6
01/11/2012 04:00,0,0.6,6.4,100,8,46,800,7
01/11/2012 05:00,0,0.5,6.3,100,8,28,4000,6
01/11/2012 06:00,0,0.2,6.2,100,9,46,600,7
01/11/2012 07:00,0,0.2,6.2,100,11,44,600,7
01/11/2012 08:00,0,0.4,6.3,100,12,44,600,7
01/11/2012 09:00,0,1,6.6,100,17,42,900,7
01/11/2012 10:00,0,2.4,7.1,98,15,28,15000,5
01/11/2012 11:00,0,3.5,7.2,91,14,2,20000,5
01/11/2012 12:00,0,5.4,7.1,80,14,1,30000,2
01/11/2012 13:00,0,6.2,7.1,75,15,2,40000,2
01/11/2012 14:00,0,6.8,6.4,65,18,2,50000,2
01/11/2012 15:00,0,6.1,6.6,70,18,2,50000,3
01/11/2012 16:00,0.1,5.1,7.2,83,16,25,30000,5
01/11/2012 17:00,0.7,4.6,7.6,90,17,80,10000,7
01/11/2012 18:00,0.2,4.7,7.8,92,17,25,25000,7
01/11/2012 19:00,0,4.4,7.7,92,18,2,30000,1
01/11/2012 20:00,0,4.4,7.4,89,19,2,30000,4
01/11/2012 21:00,0,4.5,7.3,87,21,2,30000,2
01/11/2012 22:00,0,5,7.5,86,18,2,30000,5
01/11/2012 23:00,0,4.7,7.4,87,20,2,30000,1
02/11/2012 00:00,0,4.9,7.5,87,21,2,30000,5
02/11/2012 01:00,0,5.1,7.5,86,18,2,30000,6
02/11/2012 02:00,0,4.6,7.4,87,13,2,30000,7
02/11/2012 03:00,0,4.5,7.3,87,16,2,30000,7
02/11/2012 04:00,0,4.2,6.9,84,16,2,30000,5
02/11/2012 05:00,0,3.4,6.6,85,15,2,30000,2
02/11/2012 06:00,0,3.3,6.7,86,16,2,30000,1
02/11/2012 07:00,0,3.4,6.7,86,17,2,30000,5
02/11/2012 08:00,0,3.4,6.6,85,18,2,40000,3
02/11/2012 09:00,0,4.4,6.9,82,19,2,40000,2
02/11/2012 10:00,0,6.1,7.1,76,21,2,40000,2
02/11/2012 11:00,0,7.4,7.2,70,21,2,50000,2
02/11/2012 12:00,0,7.6,7.3,70,23,2,50000,6
02/11/2012 13:00,0,7.3,7.9,77,24,25,25000,6
02/11/2012 14:00,0,8.1,7.7,71,24,2,40000,7
02/11/2012 15:00,0,6.9,7.6,77,21,2,40000,7
02/11/2012 16:00,0,5.4,7.7,86,17,25,40000,7
02/11/2012 17:00,0,4.8,7.4,86,13,25,40000,6
02/11/2012 18:00,0,3.9,7.1,88,10,1,40000,3
02/11/2012 19:00,0,3.8,7.2,90,9,2,40000,1
02/11/2012 20:00,0,3.4,7,90,7,2,40000,1
02/11/2012 21:00,0,3.8,7.1,88,11,2,40000,2
02/11/2012 22:00,0,3.5,6.9,88,9,2,30000,7
02/11/2012 23:00,0,3.2,6.6,86,8,2,30000,3
03/11/2012 00:00,0,2.8,6.5,88,6,2,30000,6
03/11/2012 01:00,0,3,6.5,86,9,2,30000,6
03/11/2012 02:00,0,2.8,6.5,88,8,2,30000,6
03/11/2012 03:00,0,1.8,6.3,91,8,2,30000,4
03/11/2012 04:00,0,1.4,6.1,91,7,2,30000,5
03/11/2012 05:00,0,2.1,6.3,89,7,2,30000,6
03/11/2012 06:00,0,1.8,6.2,89,10,2,30000,3
03/11/2012 07:00,0,2,6.1,87,10,2,30000,1
03/11/2012 08:00,0,2.2,6.1,86,11,2,60000,1
03/11/2012 09:00,0,3.7,6.4,80,11,2,60000,1
03/11/2012 10:00,0,4.7,6.2,73,15,2,60000,1
03/11/2012 11:00,0,5.6,6.4,71,18,2,60000,1
03/11/2012 12:00,0,6.7,6.5,67,14,2,60000,1
03/11/2012 13:00,0,7.2,6.5,64,14,2,60000,1
03/11/2012 14:00,0,7.3,6,59,16,2,60000,1
03/11/2012 15:00,0,7.1,5.9,59,14,2,60000,1
03/11/2012 16:00,0,6.5,5.9,61,14,2,60000,1
03/11/2012 17:00,0,5.1,6,69,13,2,50000,1
03/11/2012 18:00,0,4.9,6.1,70,12,2,50000,1
03/11/2012 19:00,0,4.1,6.3,77,13,2,50000,1
03/11/2012 20:00,0,4,6.4,78,11,2,50000,6
03/11/2012 21:00,0,4.9,6.5,75,10,2,50000,7
03/11/2012 22:00,0,5.5,6.2,69,11,2,40000,6
03/11/2012 23:00,0,5.3,6.1,69,10,2,30000,6
04/11/2012 00:00,0,6.4,6.2,65,11,2,30000,7
04/11/2012 01:00,0,6.9,6.4,64,12,2,30000,7
04/11/2012 02:00,0,6.5,6.3,65,11,2,30000,7
04/11/2012 03:00,0,6.5,6.5,68,9,2,30000,7
04/11/2012 04:00,0,7.1,6.5,64,7,2,30000,7
04/11/2012 05:00,0,6.6,6.9,71,10,2,30000,7
04/11/2012 06:00,0,6.6,7,72,9,25,30000,7
04/11/2012 07:00,0,6.6,7.3,75,13,80,30000,7
04/11/2012 08:00,0.9,5.6,8,88,10,80,15000,7
