,Intercept,Stop_sequence,scheduled_speed_per_stop,stops_travelled,Time_bin_xxx,DayOfWeek,Prediction
88330,1.0,18.0,0.9836065573770492,38.0,14100.0,2.0,52.75714285714285
31264,1.0,57.0,0.9836065573770492,56.0,23111.0,1.0,1.1805555555555558
113644,1.0,14.0,0.9836065573770492,55.0,19110.0,0.0,48.7
59900,1.0,61.0,0.9836065573770492,53.0,20000.0,2.0,7.970088250215194
125864,1.0,38.0,0.9836065573770492,55.0,22000.0,1.0,17.7
6290,1.0,25.0,0.9836065573770492,56.0,22100.0,0.0,29.259523809523806
62419,1.0,61.0,0.9836065573770492,59.0,23100.0,5.0,3.7440288126613384
100720,1.0,29.0,0.9836065573770492,60.0,17111.0,4.0,50.4
31123,1.0,57.0,0.9836065573770492,52.0,19110.0,1.0,8.761954270174057
72979,1.0,61.0,0.9836065573770492,59.0,8100.0,4.0,7.774141869811025
115346,1.0,34.0,0.9836065573770492,52.0,12100.0,3.0,24.05
78650,1.0,10.0,0.9836065573770492,59.0,11110.0,3.0,61.9
16195,1.0,35.0,0.9836065573770492,54.0,9000.0,3.0,19.806666666666665
130388,1.0,46.0,0.9836065573770492,44.0,15110.0,4.0,0.37321428571428567
104351,1.0,42.0,0.9836065573770492,59.0,12100.0,1.0,25.1
16499,1.0,35.0,0.9836065573770492,53.0,17110.0,6.0,24.15
6839,1.0,25.0,0.9836065573770492,53.0,7000.0,4.0,48.39238095238095
9528,1.0,26.0,0.9836065573770492,34.0,13110.0,0.0,35.55515873015874
49810,1.0,35.0,0.9836065573770492,57.0,7100.0,4.0,39.31666666666666
130202,1.0,30.0,0.9836065573770492,58.0,14111.0,3.0,45.8
95760,1.0,42.0,0.9836065573770492,53.0,18110.0,2.0,19.391666666666666
2249,1.0,9.0,0.9836065573770492,48.0,20110.0,5.0,39.53333333333333
11372,1.0,26.0,0.9836065573770492,52.0,21111.0,5.0,30.19166666666667
29254,1.0,57.0,0.9836065573770492,53.0,23100.0,5.0,3.884502939328878
114061,1.0,38.0,0.9836065573770492,51.0,15100.0,5.0,20.093333333333334
136256,1.0,3.0,0.9836065573770492,49.0,9100.0,2.0,66.475
6399,1.0,25.0,0.9836065573770492,55.0,13000.0,1.0,39.795
116393,1.0,43.0,0.9836065573770492,58.0,13110.0,3.0,20.25
131401,1.0,37.0,0.9836065573770492,60.0,21110.0,1.0,26.05
24029,1.0,57.0,0.9836065573770492,53.0,13100.0,4.0,0.9814285714285713
90304,1.0,4.0,0.9836065573770492,58.0,15111.0,4.0,75.5875
140222,1.0,60.0,0.9836065573770492,54.0,15110.0,2.0,3.6098760246318506
61542,1.0,61.0,0.9836065573770492,60.0,10100.0,4.0,4.998163515956806
73286,1.0,61.0,0.9836065573770492,59.0,21111.0,4.0,4.087550261523374
55535,1.0,51.0,0.9836065573770492,52.0,13111.0,1.0,4.224451235039471
62922,1.0,61.0,0.9836065573770492,59.0,8111.0,0.0,3.2224721117744117
68413,1.0,61.0,0.9836065573770492,56.0,10110.0,2.0,4.651456598243616
34613,1.0,57.0,0.9836065573770492,53.0,12100.0,1.0,4.215893773942509
92935,1.0,37.0,0.9836065573770492,48.0,9100.0,0.0,12.3
27984,1.0,57.0,0.9836065573770492,54.0,7110.0,3.0,4.548849178476663
98748,1.0,43.0,0.9836065573770492,54.0,19110.0,3.0,13.3
56617,1.0,55.0,0.9836065573770492,55.0,14110.0,4.0,0.6666666666666667
105579,1.0,57.0,0.9836065573770492,56.0,15110.0,4.0,2.8740384615384613
99344,1.0,19.0,0.9836065573770492,53.0,10111.0,0.0,50.1
21474,1.0,57.0,0.9836065573770492,52.0,10100.0,2.0,10.26930703902915
136306,1.0,3.0,0.9836065573770492,56.0,17000.0,5.0,69.6
135672,1.0,48.0,0.9836065573770492,51.0,9100.0,1.0,8.7
71663,1.0,61.0,0.9836065573770492,59.0,20000.0,1.0,1.2093306451612904
19285,1.0,51.0,0.9836065573770492,47.0,21110.0,5.0,9.201556776556775
54191,1.0,44.0,0.9836065573770492,56.0,15000.0,0.0,23.95
79627,1.0,23.0,0.9836065573770492,57.0,16000.0,3.0,51.98874458874459
44286,1.0,6.0,0.9836065573770492,52.0,10111.0,1.0,62.45
133983,1.0,2.0,0.9836065573770492,59.0,13111.0,0.0,77.33333333333333
49149,1.0,35.0,0.9836065573770492,56.0,18111.0,1.0,30.605
31150,1.0,57.0,0.9836065573770492,52.0,19110.0,1.0,8.761954270174057
48044,1.0,35.0,0.9836065573770492,51.0,19000.0,2.0,24.941071428571426
127290,1.0,6.0,0.9836065573770492,54.0,10111.0,2.0,62.075
43737,1.0,25.0,0.9836065573770492,53.0,8111.0,1.0,41.122499999999995
69741,1.0,61.0,0.9836065573770492,53.0,20111.0,4.0,3.194411027568922
69496,1.0,61.0,0.9836065573770492,56.0,11000.0,4.0,5.159955254251807
11633,1.0,26.0,0.9836065573770492,54.0,11110.0,1.0,37.23006854256854
13909,1.0,27.0,0.9836065573770492,41.0,17110.0,5.0,33.4
114453,1.0,38.0,0.9836065573770492,50.0,20000.0,1.0,15.7
109833,1.0,28.0,0.9836065573770492,52.0,21000.0,2.0,24.610833333333336
80277,1.0,23.0,0.9836065573770492,56.0,14110.0,0.0,45.8
80148,1.0,23.0,0.9836065573770492,58.0,11000.0,4.0,56.75
28268,1.0,57.0,0.9836065573770492,53.0,15100.0,3.0,1.0398809523809525
4339,1.0,25.0,0.9836065573770492,30.0,23100.0,1.0,25.027506967215196
95337,1.0,42.0,0.9836065573770492,52.0,16110.0,3.0,20.9
99418,1.0,19.0,0.9836065573770492,52.0,12100.0,1.0,47.725
135830,1.0,48.0,0.9836065573770492,48.0,14110.0,0.0,5.1
