Stop_ID,point1,Stop_ID,point2,distance
113,"Ballymun Road",7113,"Ballymun Road",1.1436157667311861
113,"Ballymun Road",7113,"Ballymun Road",1.1597114163507645
147,"Mobhi Road",7113,"Ballymun Road",3.3380317972298843
147,"Mobhi Road",7113,"Ballymun Road",3.450585484706572
147,"Mobhi Road",7113,"Ballymun Road",3.5991331723713094
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.19506163800013
273,"O'Connell St",7113,"Ballymun Road",6.298682391779556
273,"O'Connell St",7113,"Ballymun Road",6.373641328776751
273,"O'Connell St",7113,"Ballymun Road",6.394112371404976
273,"O'Connell St",7113,"Ballymun Road",6.457500195714953
408,"Merrion Sq",7113,"Ballymun Road",6.917358357774651
408,"Merrion Sq",7113,"Ballymun Road",7.006951068522635
412,"Northumberland Rd",7113,"Ballymun Road",7.705847920598333
414,"Pembroke Road",7113,"Ballymun Road",8.154168248342403
414,"Pembroke Road",7113,"Ballymun Road",8.275768721118949
416,Ballsbridge,7113,"Ballymun Road",8.552185565764912
416,Ballsbridge,7113,"Ballymun Road",8.599932880620473
416,Ballsbridge,7113,"Ballymun Road",8.642638855874722
418,"Merrion Road",7113,"Ballymun Road",8.9766547354242
418,"Merrion Road",7113,"Ballymun Road",9.07904109152064
422,"Merrion Road",7113,"Ballymun Road",10.066815626515478
422,"Merrion Road",7113,"Ballymun Road",10.066815626515478
422,"Merrion Road",7113,"Ballymun Road",10.196132519004795
424,"Merrion Road",7113,"Ballymun Road",10.510320389521276
424,"Merrion Road",7113,"Ballymun Road",10.632961480123152
424,"Merrion Road",7113,"Ballymun Road",10.683694186307
424,"Merrion Road",7113,"Ballymun Road",10.850275715285697
426,"Rock Road",7113,"Ballymun Road",11.099601338384776
426,"Rock Road",7113,"Ballymun Road",11.358562085722598
428,"Rock Road",7113,"Ballymun Road",11.82367027676396
428,"Rock Road",7113,"Ballymun Road",11.994205992982698
6334,"Frascati Road",7113,"Ballymun Road",12.567091607835186
6334,"Frascati Road",7113,"Ballymun Road",12.567091607835186
6334,"Frascati Road",7113,"Ballymun Road",12.650954495549227
6334,"Frascati Road",7113,"Ballymun Road",12.657233789533084
6334,"Frascati Road",7113,"Ballymun Road",12.835499062814097
6334,"Frascati Road",7113,"Ballymun Road",13.048072722105191
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.279069242287315
113,"Ballymun Road",7113,"Ballymun Road",1.1436157667311861
113,"Ballymun Road",7113,"Ballymun Road",1.1597114163507645
147,"Mobhi Road",7113,"Ballymun Road",3.3380317972298843
147,"Mobhi Road",7113,"Ballymun Road",3.450585484706572
147,"Mobhi Road",7113,"Ballymun Road",3.5991331723713094
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.19506163800013
273,"O'Connell St",7113,"Ballymun Road",6.298682391779556
273,"O'Connell St",7113,"Ballymun Road",6.373641328776751
273,"O'Connell St",7113,"Ballymun Road",6.394112371404976
273,"O'Connell St",7113,"Ballymun Road",6.457500195714953
408,"Merrion Sq",7113,"Ballymun Road",6.917358357774651
408,"Merrion Sq",7113,"Ballymun Road",7.006951068522635
412,"Northumberland Rd",7113,"Ballymun Road",7.705847920598333
414,"Pembroke Road",7113,"Ballymun Road",8.154168248342403
414,"Pembroke Road",7113,"Ballymun Road",8.275768721118949
416,Ballsbridge,7113,"Ballymun Road",8.552185565764912
416,Ballsbridge,7113,"Ballymun Road",8.599932880620473
416,Ballsbridge,7113,"Ballymun Road",8.642638855874722
418,"Merrion Road",7113,"Ballymun Road",8.9766547354242
418,"Merrion Road",7113,"Ballymun Road",9.07904109152064
422,"Merrion Road",7113,"Ballymun Road",10.066815626515478
422,"Merrion Road",7113,"Ballymun Road",10.066815626515478
422,"Merrion Road",7113,"Ballymun Road",10.196132519004795
424,"Merrion Road",7113,"Ballymun Road",10.510320389521276
424,"Merrion Road",7113,"Ballymun Road",10.632961480123152
424,"Merrion Road",7113,"Ballymun Road",10.683694186307
424,"Merrion Road",7113,"Ballymun Road",10.850275715285697
426,"Rock Road",7113,"Ballymun Road",11.099601338384776
426,"Rock Road",7113,"Ballymun Road",11.358562085722598
428,"Rock Road",7113,"Ballymun Road",11.82367027676396
428,"Rock Road",7113,"Ballymun Road",11.994205992982698
6334,"Frascati Road",7113,"Ballymun Road",12.567091607835186
6334,"Frascati Road",7113,"Ballymun Road",12.567091607835186
6334,"Frascati Road",7113,"Ballymun Road",12.650954495549227
6334,"Frascati Road",7113,"Ballymun Road",12.657233789533084
6334,"Frascati Road",7113,"Ballymun Road",12.835499062814097
6334,"Frascati Road",7113,"Ballymun Road",13.048072722105191
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.279069242287315
113,"Ballymun Road",7113,"Ballymun Road",1.1436157667311861
113,"Ballymun Road",7113,"Ballymun Road",1.1597114163507645
147,"Mobhi Road",7113,"Ballymun Road",3.3380317972298843
147,"Mobhi Road",7113,"Ballymun Road",3.450585484706572
147,"Mobhi Road",7113,"Ballymun Road",3.5991331723713094
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.19506163800013
273,"O'Connell St",7113,"Ballymun Road",6.298682391779556
273,"O'Connell St",7113,"Ballymun Road",6.373641328776751
273,"O'Connell St",7113,"Ballymun Road",6.394112371404976
273,"O'Connell St",7113,"Ballymun Road",6.457500195714953
408,"Merrion Sq",7113,"Ballymun Road",6.917358357774651
408,"Merrion Sq",7113,"Ballymun Road",7.006951068522635
412,"Northumberland Rd",7113,"Ballymun Road",7.705847920598333
414,"Pembroke Road",7113,"Ballymun Road",8.154168248342403
414,"Pembroke Road",7113,"Ballymun Road",8.275768721118949
416,Ballsbridge,7113,"Ballymun Road",8.552185565764912
416,Ballsbridge,7113,"Ballymun Road",8.599932880620473
416,Ballsbridge,7113,"Ballymun Road",8.642638855874722
418,"Merrion Road",7113,"Ballymun Road",8.9766547354242
418,"Merrion Road",7113,"Ballymun Road",9.07904109152064
422,"Merrion Road",7113,"Ballymun Road",10.066815626515478
422,"Merrion Road",7113,"Ballymun Road",10.066815626515478
422,"Merrion Road",7113,"Ballymun Road",10.196132519004795
424,"Merrion Road",7113,"Ballymun Road",10.510320389521276
424,"Merrion Road",7113,"Ballymun Road",10.632961480123152
424,"Merrion Road",7113,"Ballymun Road",10.683694186307
424,"Merrion Road",7113,"Ballymun Road",10.850275715285697
426,"Rock Road",7113,"Ballymun Road",11.099601338384776
426,"Rock Road",7113,"Ballymun Road",11.358562085722598
428,"Rock Road",7113,"Ballymun Road",11.82367027676396
428,"Rock Road",7113,"Ballymun Road",11.994205992982698
6334,"Frascati Road",7113,"Ballymun Road",12.567091607835186
6334,"Frascati Road",7113,"Ballymun Road",12.567091607835186
6334,"Frascati Road",7113,"Ballymun Road",12.650954495549227
6334,"Frascati Road",7113,"Ballymun Road",12.657233789533084
6334,"Frascati Road",7113,"Ballymun Road",12.835499062814097
6334,"Frascati Road",7113,"Ballymun Road",13.048072722105191
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.192238378499255
6334,"Frascati Road",7113,"Ballymun Road",13.279069242287315
113,"Ballymun Road",7113,"Ballymun Road",1.1436157667311861
113,"Ballymun Road",7113,"Ballymun Road",1.1597114163507645
147,"Mobhi Road",7113,"Ballymun Road",3.3380317972298843
147,"Mobhi Road",7113,"Ballymun Road",3.450585484706572
147,"Mobhi Road",7113,"Ballymun Road",3.5991331723713094
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.162559942374355
273,"O'Connell St",7113,"Ballymun Road",6.19506163800013
273,"O'Connell St",7113,"Ballymun Road",6.298682391779556
273,"O'Connell St",7113,"Ballymun Road",6.373641328776751
273,"O'Connell St",7113,"Ballymun Road",6.394112371404976
273,"O'Connell St",7113,"Ballymun Road",6.457500195714953
408,"Merrion Sq",7113,"Ballymun Road",6.917358357774651
408,"Merrion Sq",7113,"Ballymun Road",7.006951068522635
412,"Northumberland Rd",7113,"Ballymun Road",7.705847920598333
