Stop_ID,Stop_name,Lat,Lon,routes
2,Rotunda Hospital,53.35224392,-6.263693193,"38, 38A, 38B, 46A"
3,Rotunda Hospital,53.35230811,-6.263780716,"122, 120"
4,Rotunda Hospital,53.35256531,-6.264160838,9
6,Rotunda Hospital,53.35274013,-6.264439156,4
7,Rotunda Hospital,53.35283171,-6.264555613,"13, 40, 140, 40D"
8,Rotunda Hospital,53.35326307,-6.265169028,"7, 7D"
10,Rotunda Hospital,53.35338312,-6.265389489,"44, 11, 16, 16C, 1"
11,St. Joseph's Parade,53.35709832,-6.264367218,"13, 40, 40D"
12,St. Joseph's Parade,53.35678741,-6.264620231,"44, 11, 16, 1, 122"
14,Eccles Place,53.35853956,-6.262731094,"13, 44, 11, 16, 1, 40, 122, 40D"
15,North Circular Road,53.36024874,-6.260978774,"41, 13, 41C, 44, 11, 16, 1, 40, 41B, 33, 40D"
16,John Paul II Park,53.36641872,-6.305628132,122
17,Rail Station,53.36306934,-6.258399655,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
18,Dargle Road,53.3658465,-6.255927152,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
19,Botanic Avenue,53.36713453,-6.25549885,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
21,Clonturk Park,53.370092,-6.254295947,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
22,Drumcondra Road,53.37350339,-6.252788732,11
23,Ferguson Road,53.37422806,-6.256245983,11
24,Walsh Road,53.37513272,-6.260342306,11
25,Rathlin Road,53.37589947,-6.263617736,11
27,Griffith Avenue,53.37943874,-6.266570239,"13, 9, 11, 4"
28,Glasnevin Tennis Club,53.38157842,-6.265987247,"13, 9, 11, 4"
29,St. Canice's Road,53.38348825,-6.265669101,"13, 9, 11, 4"
30,John Paul II Park,53.37032249,-6.304571486,120
31,Maolbuille Road,53.38603301,-6.268843052,11
32,Stormanstown Road,53.38619557,-6.271377201,11
33,Glasnevin Park,53.38871771,-6.271756115,11
35,Dean Swift Road,53.38620679,-6.270910693,11
36,Maolbuille Road,53.38612685,-6.26787707,11
37,DCU,53.38534618,-6.264871956,"13, 9, 11, 4"
38,Hamstead Avenue,53.38223638,-6.265494497,"13, 9, 11, 4"
39,Glasnevin Tennis Club,53.38041397,-6.265643736,"13, 9, 11, 4"
40,Home Farm Road,53.37666077,-6.264668969,"9, 11, 4"
41,Iveragh Road,53.37555905,-6.261842985,11
42,Walsh Road,53.37465005,-6.257446169,11
43,Achill Road,53.37386078,-6.253871269,11
44,Homefarm Road,53.37301719,-6.252117283,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
45,Clonturk Park,53.36988298,-6.254139184,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
46,Botanic Avenue,53.36715052,-6.255362951,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
47,Rail Station,53.36390692,-6.257283606,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
48,Fitzroy Avenue,53.36231961,-6.258760798,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
49,North Circular Road,53.35995954,-6.260870353,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
50,Gardiner Street,53.35856872,-6.262264155,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33, 122, 40B, 40D"
