Route,Stop1,Stop2
1,Sandymount (St. John's Church),Santry (Shanard Rd.)
4,Monkstown Avenue,Harristown
7,Brides Glen Luas,Mountjoy Sq.
7A,Loughlinstown,Mountjoy Sq.
7B,Shankill,Mountjoy Sq.
7D,Dalkey,Mountjoy Sq.
9,Limekiln Ave.,Charlestown
11,  Sandyford Business District,Wadelai Park
13,Grange Castle,Harristown
14,Dundrum Luas Station,Beaumont (Ardlea Rd.) 
14C,Beaumont / Dundrum,City Centre
15,Ballycullen Rd.,Clongriffin 
15A,Limekiln Ave.,Grand Canal Dock (Benson St.)
15B,Stocking Ave.,Grand Canal Dock (Benson St.)
16,Ballinteer (Kingston),Dublin Airport
16C,Ballinteer or Airport,City Centre
17,Blackrock Rail Station,Rialto
17A,Kilbarrack,Blanchardstown Centre
18,Sandymount,Palmerstown
25,Lucan (Dodsboro),Merrion Sq.
25A,Lucan (Esker Church),Merrion Sq.
25B,Adamstown Rail Station,Merrion Sq. 
25D,Adamstown Rail Station,Merrion Sq.
25X,Lucan,UCD Belfield
26,Palmerstown (Cemetery),Merrion Sq
27,Jobstown,Clare Hall
27A,Blunden Drive,Eden Quay
29A,Baldoyle (Coast Rd.),Lwr. Abbey St. 
31,Howth Summit,Lwr. Abbey St.
31A,Shielmartin Rd.,Lwr. Abbey St.  
31B,Howth Summit,Talbot St. 
31D,DCU,Baldoyle 
32,Malahide,Talbot St. 
32X,UCD Belfield,Malahide
33,Balbriggan,Lwr. Abbey St.
33A,Balbriggan,Swords 
33B,Portrane,Swords
33D,Portrane,Custom House Quay / St. Stephens Green 
33X,Skerries,Custom House Quay / St. Stephen's Green 
37,Blanchardstown Centre,Baggot St. / Wilton Terrace 
38,Damastown,Burlington Rd. 
38A,Damastown,Burlington Rd.
38D,Damastown,Burlington Rd.
39,Ongar,Burlington Rd.
39A,Ongar,UCD Belfield 
40,Liffey Valley Shopping Centre,Charlestown Shopping Centre 
40B,Toberburr,Parnell St. 
40D,Tyrrelstown,Parnell St.
41,Swords Manor,Lwr. Abbey St.
41A,City Centre,Swords Manor
41B,Rolestown,Lwr. Abbey St. 
41C,Swords Manor,Lwr. Abbey St. 
41X,Knocksedan,UCD Belfield
42,Sand's Hotel (Portmarnock),Talbot St.
42D,DCU,Portmarnock 
43,Swords Business Park,Talbot St. 
44,Enniskerry,DCU 
44B,Glencullen,Dundrum Luas Station 
45A,Kilmacanogue,Dun Laoghaire (Rail Station)
46A,Dun Laoghaire,Phoenix Park
46E,Mountjoy Sq.,Blackrock Rail Station 
47,Belarmine,Poolbeg St. 
49,Tallaght (The Square),Pearse Street 
51D,Clondalkin,Aston Quay / Waterloo Rd. 
51X,Dunawley,UCD Belfield 
53,Dublin Ferryport,Talbot St. 
54A,Ellensborough / Kiltipper Way,Pearse Street 
56A,Tallaght (The Square),Ringsend Rd. 
59,Killiney,Dun Laoghaire
61,Whitechurch,Eden Quay 
63,Kilternan,Dun Laoghaire 
65,Blessington / Ballymore,Poolbeg St.
65B,Citywest,Poolbeg St. 
66,Maynooth,Merrion Sq
66A,Leixlip (Captain's Hill),Merrion Sq. 
66B,Leixlip (Castletown),Merrion Sq.
66X,Maynooth,UCD Belfield 
67,Maynooth,Merrion Sq.
67X,Celbridge (Salesian College),UCD Belfield
68,Newcastle / Greenogue Business Park,Burgh Quay
68A,Bulfin Rd.,Burgh Quay
68X,Newcastle / Greenogue Business Park,Hawkins St.
69,Rathcoole,Hawkins St.
69X,Rathcoole,Hawkins St.
70,Dunboyne,Burlington Rd.
70D,DCU,Dunboyne
75,Dun Laoghaire,Tallaght (The Square)
76,Tallaght (The Square),Chapelizod
76A,Tallaght (The Square),Blanchardstown Centre
77A,Citywest,Ringsend Rd.
77X,Citywest,UCD Belfield
79,Spiddal Park,Aston Quay
79A,Parkwest,Aston Quay
83,Kimmage,Harristown
83A,Kimmage,Harristown
84,Newcastle,Blackrock
84A,Bray,Blackrock
84X,Newcastle/Kilcoole,Hawkins St.
102,Dublin Airport,Sutton Station
104,DCU,Clontarf Rd. (Conquer Hill)
111,Dalkey,Brides Glen (Luas Station)
114,Blackrock Rail Station,Ticknock
116,Whitechurch,Parnell Sq.
118,D'Olier St.,Kilternan
120,Ashtown Rail Station,Parnell St. 
122,Drimnagh Rd.,Ashington
123,Marino,Walkinstown (Kilnamanagh Rd.) 
130,Castle Ave.,Lwr. Abbey St. 
140,Palmerston Park,Finglas (IKEA)
142,UCD Belfield,Portmarnock 
145,Ballywaltrim,Heuston Rail Station 
150,Rossmore,Hawkins St. 
151,Foxborough (Balgaddy Rd.),Docklands (East Rd.)
161,Rockbrook/Tibradden,Dundrum Luas Station 
184,Newtownmountkennedy,Bray Rail Station 
185,Shop River (Enniskerry),Bray Rail Station 
220,Lady's Well Rd.,Ballymun (Shangan Rd.) 
236,Blanchardstown Centre,Damastown 
238,Lady's Well Rd.,Tyrrelstown
239,Liffey Valley Shopping Centre,Blanchardstown Centre 
270,Dunboyne,Blanchardstown Centre 
747,Dublin Airport,Heuston Rail Station 
757,Dublin Airport,Camden Street (Charlotte Way) 
