Name,Position_lat,Position_lng,Category,Color
SMITHFIELD NORTH,53.349562,-6.278198,dublinbike,#123456
PARNELL SQUARE NORTH,53.353462,-6.265305,dublinbike,#123457
PEARSE STREET,53.344304,-6.250427,dublinbike,#123458
EXCISE WALK,53.347777,-6.244239,dublinbike,#123459
FITZWILLIAM SQUARE WEST,53.336074,-6.252825,dublinbike,#123460
ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,dublinbike,#123461
HANOVER QUAY,53.344115,-6.237153,dublinbike,#123462
OLIVER BOND STREET,53.343893,-6.280531,dublinbike,#123463
COLLINS BARRACKS MUSEUM,53.347477,-6.28525,dublinbike,#123464
BROOKFIELD ROAD,53.339005,-6.300217,dublinbike,#123465
CLONMEL STREET,53.336021,-6.26298,dublinbike,#123466
MOUNT STREET LOWER,53.33796,-6.24153,dublinbike,#123467
CHRISTCHURCH PLACE,53.343368,-6.27012,dublinbike,#123468
GRANTHAM STREET,53.334123,-6.265436,dublinbike,#123469
YORK STREET EAST,53.338755,-6.262003,dublinbike,#123470
PORTOBELLO ROAD,53.330091,-6.268044,dublinbike,#123471
PARNELL STREET,53.350929,-6.265125,dublinbike,#123472
FREDERICK STREET SOUTH,53.341515,-6.256853,dublinbike,#123473
FOWNES STREET UPPER,53.344603,-6.263371,dublinbike,#123474
CLARENDON ROW,53.340927,-6.262501,dublinbike,#123475
CUSTOM HOUSE,53.348279,-6.254662,dublinbike,#123476
BENSON STREET,53.344153,-6.233451,dublinbike,#123477
FENIAN STREET,53.341428,-6.24672,dublinbike,#123478
SOUTH DOCK ROAD,53.341833,-6.231291,dublinbike,#123479
THE POINT,53.346867,-6.230852,dublinbike,#123480
LIME STREET,53.346026,-6.243576,dublinbike,#123481
KILMAINHAM GAOL,53.342113,-6.310015,dublinbike,#123482
GUILD STREET,53.347932,-6.240928,dublinbike,#123483
HERBERT PLACE,53.334432,-6.245575,dublinbike,#123484
WESTERN WAY,53.354929,-6.269425,dublinbike,#123485
NEWMAN HOUSE,53.337132,-6.26059,dublinbike,#123486
KING STREET NORTH,53.350291,-6.273507,dublinbike,#123487
HERBERT STREET,53.335742,-6.24551,dublinbike,#123488
EARLSFORT TERRACE,53.334019,-6.258371,dublinbike,#123489
GOLDEN LANE,53.340803,-6.267732,dublinbike,#123490
DEVERELL PLACE,53.351464,-6.255265,dublinbike,#123491
JOHN STREET WEST,53.343105,-6.277167,dublinbike,#123492
CITY QUAY,53.346637,-6.246154,dublinbike,#123493
EXCHEQUER STREET,53.343034,-6.263578,dublinbike,#123494
HATCH STREET,53.33403,-6.260714,dublinbike,#123495
CHARLEMONT PLACE,53.330662,-6.260177,dublinbike,#123496
HARDWICKE PLACE,53.357043,-6.263232,dublinbike,#123497
WOLFE TONE STREET,53.348875,-6.267459,dublinbike,#123498
FRANCIS STREET,53.342081,-6.275233,dublinbike,#123499
GREEK STREET,53.346874,-6.272976,dublinbike,#123500
HIGH STREET,53.343565,-6.275071,dublinbike,#123501
NORTH CIRCULAR ROAD,53.359624,-6.260348,dublinbike,#123502
TALBOT STREET,53.350974,-6.25294,dublinbike,#123503
SIR PATRICK DUN'S,53.339218,-6.240642,dublinbike,#123504
NEW CENTRAL BANK,53.347122,-6.234749,dublinbike,#123505
GEORGES QUAY,53.347508,-6.252192,dublinbike,#123506
MOUNT BROWN,53.341645,-6.29719,dublinbike,#123507
ROYAL HOSPITAL,53.343897,-6.29706,dublinbike,#123508
HEUSTON STATION (CENTRAL),53.346603,-6.296924,dublinbike,#123509
TOWNSEND STREET,53.345922,-6.254614,dublinbike,#123510
PORTOBELLO HARBOUR,53.330362,-6.265163,dublinbike,#123511
CUSTOM HOUSE QUAY,53.347884,-6.248048,dublinbike,#123512
MOLESWORTH STREET,53.341288,-6.258117,dublinbike,#123513
KILMAINHAM LANE,53.341805,-6.305085,dublinbike,#123514
MARKET STREET SOUTH,53.342296,-6.287661,dublinbike,#123515
KEVIN STREET,53.337757,-6.267699,dublinbike,#123516
ECCLES STREET EAST,53.358115,-6.265601,dublinbike,#123517
GRAND CANAL DOCK,53.342638,-6.238695,dublinbike,#123518
MERRION SQUARE EAST,53.339434,-6.246548,dublinbike,#123519
YORK STREET WEST,53.339334,-6.264699,dublinbike,#123520
ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,dublinbike,#123521
DENMARK STREET GREAT,53.35561,-6.261397,dublinbike,#123522
HEUSTON STATION (CAR PARK),53.346985,-6.297804,dublinbike,#123523
ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,dublinbike,#123524
ECCLES STREET,53.359246,-6.269779,dublinbike,#123525
MATER HOSPITAL,53.359967,-6.264828,dublinbike,#123526
BLESSINGTON STREET,53.356769,-6.26814,dublinbike,#123527
MERRION SQUARE WEST,53.339764,-6.251988,dublinbike,#123528
CONVENTION CENTRE,53.34744,-6.238523,dublinbike,#123529
HARDWICKE STREET,53.355473,-6.264423,dublinbike,#123530
SMITHFIELD,53.347692,-6.278214,dublinbike,#123531
DAME STREET,53.344007,-6.266802,dublinbike,#123532
SANDWITH STREET,53.345203,-6.247163,dublinbike,#123533
PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,dublinbike,#123534
GRATTAN STREET,53.339629,-6.243778,dublinbike,#123535
ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,dublinbike,#123536
BOLTON STREET,53.351182,-6.269859,dublinbike,#123537
STRAND STREET GREAT,53.347082,-6.264192,dublinbike,#123538
BARROW STREET,53.341655,-6.236198,dublinbike,#123539
MOUNTJOY SQUARE WEST,53.356299,-6.258586,dublinbike,#123540
WILTON TERRACE,53.332383,-6.252717,dublinbike,#123541
LEINSTER STREET SOUTH,53.34218,-6.254485,dublinbike,#123542
JAMES STREET,53.343456,-6.287409,dublinbike,#123543
PARKGATE STREET,53.347972,-6.291804,dublinbike,#123544
HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,dublinbike,#123545
CATHAL BRUGHA STREET,53.352149,-6.260533,dublinbike,#123546
ROTHE ABBEY,53.338776,-6.30395,dublinbike,#123547
UPPER SHERRARD STREET,53.358437,-6.260641,dublinbike,#123548
FITZWILLIAM SQUARE EAST,53.335211,-6.2509,dublinbike,#123549
HARCOURT TERRACE,53.332763,-6.257942,dublinbike,#123550
JERVIS STREET,53.3483,-6.266651,dublinbike,#123551
ORMOND QUAY UPPER,53.346057,-6.268001,dublinbike,#123552
EMMET ROAD,53.340714,-6.308191,dublinbike,#123553
HEUSTON BRIDGE (NORTH),53.347802,-6.292432,dublinbike,#123554
BLACKHALL PLACE,53.3488,-6.281637,dublinbike,#123555
Malahide,53.4509,-6.15649,dart,#0000FF
Portmarnock,53.4169,-6.1512,dart,#0000FF
Clongriffin,53.4032,-6.14839,dart,#0000FF
Sutton,53.392,-6.11448,dart,#0000FF
Bayside,53.3917,-6.13678,dart,#0000FF
Howth Junction,53.3909,-6.15672,dart,#0000FF
Howth,53.3891,-6.07401,dart,#0000FF
Kilbarrack,53.387,-6.16163,dart,#0000FF
Raheny,53.3815,-6.17699,dart,#0000FF
Harmonstown,53.3786,-6.19131,dart,#0000FF
Killester,53.373,-6.20442,dart,#0000FF
Clontarf Road,53.3629,-6.22753,dart,#0000FF
Dublin Connolly,53.3531,-6.24591,dart,#0000FF
Tara Street,53.347,-6.25425,dart,#0000FF
Dublin Pearse,53.3433,-6.24829,dart,#0000FF
Grand Canal Dock,53.3397,-6.23773,dart,#0000FF
Lansdowne Road,53.3347,-6.22979,dart,#0000FF
Sandymount,53.3281,-6.22116,dart,#0000FF
Sydney Parade,53.3206,-6.21112,dart,#0000FF
Booterstown,53.3099,-6.19498,dart,#0000FF
Blackrock,53.3027,-6.17833,dart,#0000FF
Seapoint,53.2991,-6.16512,dart,#0000FF
Salthill,53.2954,-6.15206,dart,#0000FF
Dun Laoghaire,53.2951,-6.13498,dart,#0000FF
Sandycove,53.2878,-6.12712,dart,#0000FF
Glenageary,53.2812,-6.12289,dart,#0000FF
Dalkey,53.2756,-6.10333,dart,#0000FF
Killiney,53.2557,-6.11317,dart,#0000FF
Shankill,53.2364,-6.11691,dart,#0000FF
Bray,53.2043,-6.10046,dart,#0000FF
Greystones,53.1442,-6.06085,dart,#0000FF
Kilcoole,53.107,-6.04112,dart,#0000FF
Saggart,53.284679,-6.437763,luas,#808000
Fortunestown,53.284251,-6.424602,luas,#808001
Citywest Campus,53.287833,-6.418915,luas,#808002
Cheeverstown,53.290982,-6.406849,luas,#808003
Fettercairn,53.293519,-6.395554,luas,#808004
Tallaght,53.287494,-6.374589,luas,#808005
Hospital,53.289369,-6.37885,luas,#808006
Cookstown,53.293506,-6.384397,luas,#808007
Belgard,53.299286,-6.374886,luas,#808008
Kingswood,53.303694,-6.36525,luas,#808009
Red Cow,53.316833,-6.369872,luas,#808010
Kylemore,53.326656,-6.343444,luas,#808011
Bluebell,53.329297,-6.333792,luas,#808012
Blackhorse,53.334258,-6.327394,luas,#808013
Drimnagh,53.335361,-6.318161,luas,#808014
Goldenbridge,53.335892,-6.313569,luas,#808015
Suir Road,53.336617,-6.307211,luas,#808016
Rialto,53.337908,-6.297242,luas,#808017
Fatima,53.338439,-6.292547,luas,#808018
James's,53.341942,-6.293361,luas,#808019
Heuston,53.346647,-6.291808,luas,#808020
Museum,53.347867,-6.286714,luas,#808021
Smithfield,53.347133,-6.277728,luas,#808022
Four Courts,53.346864,-6.273436,luas,#808023
Jervis,53.347686,-6.265333,luas,#808024
Abbey Street,53.348589,-6.258172,luas,#808025
Busˆras,53.350075,-6.25145,luas,#808026
Connolly,53.350922,-6.249942,luas,#808027
George's Dock,53.349528,-6.247575,luas,#808028
Mayor Square - NCI,53.349247,-6.243394,luas,#808029
Spencer Dock,53.348822,-6.237147,luas,#808030
The Point,53.34835,-6.229258,luas,#808031
St. Stephen's Green,53.339072,-6.261333,luas,#808032
Harcourt,53.333358,-6.26265,luas,#808033
Charlemont,53.330669,-6.258683,luas,#808034
Ranelagh,53.326433,-6.256203,luas,#808035
Beechwood,53.320822,-6.254653,luas,#808036
Cowper,53.316467,-6.253447,luas,#808037
Milltown,53.309917,-6.251728,luas,#808038
Windy Arbour,53.301558,-6.250708,luas,#808039
Dundrum,53.292358,-6.245117,luas,#808040
Balally,53.286106,-6.236772,luas,#808041
Kilmacud,53.283008,-6.223886,luas,#808042
Stillorgan,53.279311,-6.209919,luas,#808043
Sandyford,53.277603,-6.204678,luas,#808044
Central Park,53.27015,-6.203764,luas,#808045
Glencairn,53.266336,-6.209942,luas,#808046
The Gallops,53.261164,-6.206022,luas,#808047
Leopardstown Valley,53.258247,-6.198361,luas,#808048
