Route,Stop_ID,Stop_name,Lat,Lon,Stop_sequence,Direction,routes
33A,3813.0,Footbridge,53.59137687,-6.156175864,1,0,"33A, 33"
33,3813.0,Footbridge,53.59137687,-6.156175864,7,0,"33A, 33"
33A,3814.0,Barnageeragh Road,53.5855436,-6.148605461,2,0,"33A, 33"
33,3814.0,Barnageeragh Road,53.5855436,-6.148605461,8,0,"33A, 33"
33A,3815.0,Barnageeragh Road,53.5819351,-6.125246689,3,0,"33A, 33"
33,3815.0,Barnageeragh Road,53.5819351,-6.125246689,9,0,"33A, 33"
33A,3816.0,Mourne Drive,53.58047132,-6.127622271,4,0,"33A, 33"
33,3816.0,Mourne Drive,53.58047132,-6.127622271,10,0,"33A, 33"
33A,3566.0,Selskar Court,53.57806727,-6.125055412000001,5,0,"33A, 33"
33,3566.0,Selskar Court,53.57806727,-6.125055412000001,11,0,"33A, 33"
33A,3567.0,Selsker Road,53.57621494,-6.119851789,6,0,"33A, 33"
33,3567.0,Selsker Road,53.57621494,-6.119851789,12,0,"33A, 33"
33A,7292.0,Sports Fields,53.57753411,-6.112302543999999,7,0,"33A, 33"
33,7292.0,Sports Fields,53.57753411,-6.112302543999999,13,0,"33A, 33"
33A,3818.0,Church Street,53.57986436,-6.1101748879999995,8,0,"33A, 33"
33,3818.0,Church Street,53.57986436,-6.1101748879999995,14,0,"33A, 33"
33A,3819.0,McLoughlin's Lane,53.58006992,-6.106691995,9,0,"33A, 33"
33,3819.0,McLoughlin's Lane,53.58006992,-6.106691995,15,0,"33A, 33"
33A,3820.0,St. Patrick's Church,53.57787256,-6.10585386,10,0,"33A, 33"
33,3820.0,St. Patrick's Church,53.57787256,-6.10585386,16,0,"33A, 33"
33A,3822.0,Brookville Lane,53.57536002,-6.104410747,11,0,"33A, 33"
33,3822.0,Brookville Lane,53.57536002,-6.104410747,17,0,"33A, 33"
33A,3823.0,Rugby Club,53.57276231,-6.101567263,12,0,"33A, 33"
33,3823.0,Rugby Club,53.57276231,-6.101567263,18,0,"33A, 33"
33A,3824.0,Shenick Road,53.56970017,-6.101175975,13,0,"33A, 33"
33,3824.0,Shenick Road,53.56970017,-6.101175975,19,0,"33A, 33"
33A,3565.0,Downside Park,53.56674987,-6.102168778999999,14,0,"33A, 33"
33,3565.0,Downside Park,53.56674987,-6.102168778999999,20,0,"33A, 33"
33A,3825.0,Hacketstown Cottages,53.56234741,-6.103407589,15,0,"33A, 33"
33,3825.0,Hacketstown Cottages,53.56234741,-6.103407589,21,0,"33A, 33"
33A,3826.0,Ballyhavil,53.55847560000001,-6.102403373,16,0,"33A, 33"
33,3826.0,Ballyhavil,53.55847560000001,-6.102403373,22,0,"33A, 33"
