Route,Stop_ID,Stop_name,Lat,Lon,Stop_sequence,Direction,routes
38A,2,Rotunda Hospital,53.35224392,-6.263693193,9,1,"38, 38A, 38B, 46A"
38B,2,Rotunda Hospital,53.35224392,-6.263693193,9,1,"38, 38A, 38B, 46A"
46A,2,Rotunda Hospital,53.35224392,-6.263693193,49,1,"38, 38A, 38B, 46A"
122,3,Rotunda Hospital,53.35230811,-6.263780716,31,1,"122, 120"
13,7,Rotunda Hospital,53.35283171,-6.264555613,55,1,"13, 40, 140, 40D"
140,7,Rotunda Hospital,53.35283171,-6.264555613,19,1,"13, 40, 140, 40D"
16,10,Rotunda Hospital,53.35338312,-6.265389489,44,1,"44, 11, 16, 16C, 1"
13,11,St. Joseph's Parade,53.35709832,-6.264367218,56,1,"13, 40, 40D"
16,12,St. Joseph's Parade,53.35678741,-6.264620231,45,1,"44, 11, 16, 1, 122"
122,12,St. Joseph's Parade,53.35678741,-6.264620231,32,1,"44, 11, 16, 1, 122"
13,14,Eccles Place,53.35853956,-6.262731094,57,1,"13, 44, 11, 16, 1, 40, 122, 40D"
16,14,Eccles Place,53.35853956,-6.262731094,46,1,"13, 44, 11, 16, 1, 40, 122, 40D"
122,14,Eccles Place,53.35853956,-6.262731094,33,1,"13, 44, 11, 16, 1, 40, 122, 40D"
13,15,North Circular Road,53.36024874,-6.260978774,58,1,"41, 13, 41C, 44, 11, 16, 1, 40, 41B, 33, 40D"
41C,15,North Circular Road,53.36024874,-6.260978774,7,1,"41, 13, 41C, 44, 11, 16, 1, 40, 41B, 33, 40D"
16,15,North Circular Road,53.36024874,-6.260978774,47,1,"41, 13, 41C, 44, 11, 16, 1, 40, 41B, 33, 40D"
33,15,North Circular Road,53.36024874,-6.260978774,7,1,"41, 13, 41C, 44, 11, 16, 1, 40, 41B, 33, 40D"
13,17,Rail Station,53.36306934,-6.258399655,59,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
41C,17,Rail Station,53.36306934,-6.258399655,8,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
16,17,Rail Station,53.36306934,-6.258399655,48,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
33,17,Rail Station,53.36306934,-6.258399655,8,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
13,18,Dargle Road,53.3658465,-6.255927152,60,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
41C,18,Dargle Road,53.3658465,-6.255927152,9,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
16,18,Dargle Road,53.3658465,-6.255927152,49,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
33,18,Dargle Road,53.3658465,-6.255927152,9,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
13,19,Botanic Avenue,53.36713453,-6.25549885,61,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
41C,19,Botanic Avenue,53.36713453,-6.25549885,10,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
16,19,Botanic Avenue,53.36713453,-6.25549885,50,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
33,19,Botanic Avenue,53.36713453,-6.25549885,10,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
13,21,Clonturk Park,53.370092,-6.254295947,62,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
41C,21,Clonturk Park,53.370092,-6.254295947,11,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
16,21,Clonturk Park,53.370092,-6.254295947,51,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
33,21,Clonturk Park,53.370092,-6.254295947,11,1,"41, 13, 41C, 44, 11, 16, 1, 41B, 33"
13,27,Griffith Avenue,53.37943874,-6.266570239,68,1,"13, 9, 11, 4"
13,28,Glasnevin Tennis Club,53.38157842,-6.265987247,69,1,"13, 9, 11, 4"
13,29,St. Canice's Road,53.38348825,-6.265669101,70,1,"13, 9, 11, 4"
120,30,John Paul II Park,53.37032249,-6.304571486,6,1,120
11,35,Dean Swift Road,53.38620679,-6.270910693,2,1,11
11,36,Maolbuille Road,53.38612685,-6.26787707,3,1,11
9,37,DCU,53.38534618,-6.264871956,17,1,"13, 9, 11, 4"
11,37,DCU,53.38534618,-6.264871956,4,1,"13, 9, 11, 4"
4,37,DCU,53.38534618,-6.264871956,11,1,"13, 9, 11, 4"
9,38,Hamstead Avenue,53.38223638,-6.265494497,18,1,"13, 9, 11, 4"
11,38,Hamstead Avenue,53.38223638,-6.265494497,5,1,"13, 9, 11, 4"
4,38,Hamstead Avenue,53.38223638,-6.265494497,12,1,"13, 9, 11, 4"
9,39,Glasnevin Tennis Club,53.38041397,-6.265643736,19,1,"13, 9, 11, 4"
11,39,Glasnevin Tennis Club,53.38041397,-6.265643736,6,1,"13, 9, 11, 4"
4,39,Glasnevin Tennis Club,53.38041397,-6.265643736,13,1,"13, 9, 11, 4"
9,40,Home Farm Road,53.37666077,-6.264668969,20,1,"9, 11, 4"
11,40,Home Farm Road,53.37666077,-6.264668969,7,1,"9, 11, 4"
4,40,Home Farm Road,53.37666077,-6.264668969,14,1,"9, 11, 4"
11,41,Iveragh Road,53.37555905,-6.261842985,8,1,11
11,42,Walsh Road,53.37465005,-6.257446169,9,1,11
11,43,Achill Road,53.37386078,-6.253871269,10,1,11
41,44,Homefarm Road,53.37301719,-6.252117283,43,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
44,44,Homefarm Road,53.37301719,-6.252117283,10,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
11,44,Homefarm Road,53.37301719,-6.252117283,11,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
1,44,Homefarm Road,53.37301719,-6.252117283,13,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41B,44,Homefarm Road,53.37301719,-6.252117283,37,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41,45,Clonturk Park,53.36988298,-6.254139184,44,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
44,45,Clonturk Park,53.36988298,-6.254139184,11,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
11,45,Clonturk Park,53.36988298,-6.254139184,12,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
1,45,Clonturk Park,53.36988298,-6.254139184,14,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41B,45,Clonturk Park,53.36988298,-6.254139184,38,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41,46,Botanic Avenue,53.36715052,-6.255362951,45,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
44,46,Botanic Avenue,53.36715052,-6.255362951,12,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
11,46,Botanic Avenue,53.36715052,-6.255362951,13,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
1,46,Botanic Avenue,53.36715052,-6.255362951,15,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41B,46,Botanic Avenue,53.36715052,-6.255362951,39,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41,47,Rail Station,53.36390692,-6.257283606,46,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
44,47,Rail Station,53.36390692,-6.257283606,13,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
11,47,Rail Station,53.36390692,-6.257283606,14,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
1,47,Rail Station,53.36390692,-6.257283606,16,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41B,47,Rail Station,53.36390692,-6.257283606,40,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41,48,Fitzroy Avenue,53.36231961,-6.258760798,47,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
44,48,Fitzroy Avenue,53.36231961,-6.258760798,14,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
11,48,Fitzroy Avenue,53.36231961,-6.258760798,15,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
1,48,Fitzroy Avenue,53.36231961,-6.258760798,17,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41B,48,Fitzroy Avenue,53.36231961,-6.258760798,41,1,"41C, 13, 41, 44, 11, 16, 1, 41A, 41B, 33"
41,49,North Circular Road,53.35995954,-6.260870353,48,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
44,49,North Circular Road,53.35995954,-6.260870353,15,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
11,49,North Circular Road,53.35995954,-6.260870353,16,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
1,49,North Circular Road,53.35995954,-6.260870353,18,1,"41C, 13, 41, 44, 11, 16, 1, 40, 41A, 41B, 33, 40B, 40D"
