stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23,route24,route25,route26,route27,route28,route29,route30,route31,route32,route33,route34,route35
2,2,Parnell Square,Parnell Square,53.35224111,-6.263695,12/06/2017 08:09,bac,38,38A,38D,38B,46A,46E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Parnell Square,Parnell Square,53.35230694,-6.263783056,12/06/2017 08:09,bac,120,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Parnell Square,Parnell Square,53.35256694,-6.264166111,12/06/2017 08:09,bac,7,7B,7A,7D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Parnell Square,Parnell Square,53.35274389,-6.264443056,12/06/2017 08:09,bac,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Parnell Square,Parnell Square,53.35283611,-6.264561944,12/06/2017 08:09,bac,40,40B,40D,13,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Parnell Square,Parnell Square,53.35328111,-6.265155,12/06/2017 08:09,bac,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,Parnell Square,Parnell Square,53.35338694,-6.265383889,12/06/2017 08:09,bac,16C,16,1,11,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Dorset St,Dorset St,53.35709389,-6.264366944,12/06/2017 08:09,bac,40B,40D,40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Dorset St,Dorset St,53.35678889,-6.264623056,12/06/2017 08:09,bac,122,11,1,16,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Dorset St,Dorset St,53.35853694,-6.262723889,12/06/2017 08:09,bac,44,40,40D,40B,16,1,11,122,13,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Dorset St,Dorset St,53.36025111,-6.260973056,12/06/2017 08:09,bac,13,11,1,16,40B,40D,40,41,41B,41C,44,33,,,,,,,,,,,,,,,,,,,,,,,
16,16,Nephin Road,Nephin Road,53.36641889,-6.305635,12/06/2017 08:09,bac,70D,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Drumcondra Rd,Drumcondra Rd,53.36306694,-6.258398056,12/06/2017 08:09,bac,13,1,11,16,33,44,41C,41B,41,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Drumcondra Rd,Drumcondra Rd,53.36584889,-6.255931111,12/06/2017 08:09,bac,41,41B,41C,44,33,16,11,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Drumcondra Rd,Drumcondra Rd,53.36713806,-6.255493056,12/06/2017 08:09,bac,13,1,11,16,33,44,41C,41B,41,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,Drumcondra Rd,Drumcondra Rd,53.37009194,-6.254291111,12/06/2017 08:09,bac,41,41B,41C,44,11,1,13,16,33,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Home Farm Road,Home Farm Road,53.37350306,-6.252781944,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Home Farm Road,Home Farm Road,53.37423194,-6.256245,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,Home Farm Road,Home Farm Road,53.375135,-6.260346111,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,Home Farm Road,Home Farm Road,53.37590306,-6.263611111,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Ballymun Road,Ballymun Road,53.37943806,-6.266575,12/06/2017 08:09,bac,11,13,4,70D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Ballymun Road,Ballymun Road,53.381575,-6.265988889,12/06/2017 08:09,bac,9,70D,4,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,Ballymun Road,Ballymun Road,53.38348389,-6.265663056,12/06/2017 08:09,bac,11,13,4,70D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,Ventry Park,Ventry Park,53.37032111,-6.304578056,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,St. Pappin's Road,St. Pappin's Road,53.38603194,-6.268845,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,St. Pappin's Road,St. Pappin's Road,53.38619306,-6.27137,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
